access_table,web_entity,access_column,crm_field,type,direction,decision,conflict_rule,cursor_column,notes
tbl_Customer,customer,RELATION_OF_RP_1ST,relation_of_rp_1st,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,CUSTOMER_NAME_PREFIX_2ND,customer_name_prefix_2nd,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,SALUTATION_2,salutation_2,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,CUSTOMER_NAME_2ND,customer_name_2nd,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,RELATED_PERSON_2ND,related_person_2nd,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,RELATION_OF_RP_2ND,relation_of_rp_2nd,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,RELATIONSHIP_ID,relationship_id,float,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,AGE_1ST,age_1st,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,DOB_1ST,dob_1st,datetime,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,AGE_2ND,age_2nd,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,DOB_2ND,dob_2nd,datetime,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,OCCUPATION_ID_1ST,occupation_id_1st,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,OCCUPATION_ID_2ND,occupation_id_2nd,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,PRIMARY_CONTACT_NO,primary_contact_no,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,SECONDARY_CONTACT_NO,secondary_contact_no,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,EMAIL_ADDRESS,email_address,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,EMAIL_ADDRESS_ADDNL,email_address_addnl,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,EMAIL_ADDRESS_2,email_address_2,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,ADDRESS,address,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,ADDRESS_1,address_1,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,ADDRESS_2ND,address_2nd,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,ADDRESS_1_2ND,address_1_2nd,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,AADHAR_1ST,aadhar_1st,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,AADHAR_2ND,aadhar_2nd,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,PAN_NO_1ST,pan_no_1st,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,PAN_NO_2ND,pan_no_2nd,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,PASSPORT_1ST,passport_1st,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,PASSPORT_2ND,passport_2nd,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,ADDRESS_PROOF,address_proof,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,ADDRESS_PROOF_ID,address_proof_id,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,ADDRESS_PROOF_ID_1,address_proof_id_1,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,ADDRESS_PROOF_1,address_proof_1,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,ISACTIVE,isactive,bool,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,CREATED_BY,created_by,float,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Customer,customer,MODIFIED_BY,modified_by,float,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Customer,customer,CREATED_DATE,created_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Customer,customer,MODIFIED_DATE,modified_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Customer,customer,RELATIONSHIP_ID_3,relationship_id_3,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,SALUTATION_3,salutation_3,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,CUSTOMER_NAME_3RD,customer_name_3rd,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,DOB_3RD,dob_3rd,datetime,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,AGE_3RD,age_3rd,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,RELATED_PERSON_3RD,related_person_3rd,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,RELATION_OF_RP_3RD,relation_of_rp_3rd,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,EMAIL_ADDRESS_3,email_address_3,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,OCCUPATION_ID_3RD,occupation_id_3rd,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,AADHAR_3RD,aadhar_3rd,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,PASSPORT_3RD,passport_3rd,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,PAN_NO_3RD,pan_no_3rd,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,ADDRESS_1_3RD,address_1_3rd,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,ADDRESS_3RD,address_3rd,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,RELATIONSHIP_ID_4,relationship_id_4,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,SALUTATION_4,salutation_4,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,CUSTOMER_NAME_4TH,customer_name_4th,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,DOB_4TH,dob_4th,datetime,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,AGE_4TH,age_4th,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,RELATED_PERSON_4TH,related_person_4th,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,RELATION_OF_RP_4TH,relation_of_rp_4th,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,EMAIL_ADDRESS_4,email_address_4,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,OCCUPATION_ID_4TH,occupation_id_4th,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,AADHAR_4TH,aadhar_4th,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,PASSPORT_4TH,passport_4th,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,PAN_NO_4TH,pan_no_4th,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,ADDRESS_1_4TH,address_1_4th,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,ADDRESS_4TH,address_4th,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,PROPERTY_DETAILS_ID,property_details_id,int,access->web,key,newest-wins,MODIFIED_DATE,unique key
tbl_Property_Details,unit / booking record,BOOKING_DATE,booking_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,PROPERTY_ID,property_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,CUSTOMER_ID,customer_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,BLOCK_NAME,block_name,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,FLAT_NO,flat_no,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,FLAT_SIZE,flat_size,float,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,FLAT_AMOUNT,flat_amount,float,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,LOAN_AMOUNT,loan_amount,float,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,LOAN_BANK_ID,loan_bank_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,PROPERTY_TYPE_ID,property_type_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,PROPERTY_STATUS_ID,property_status_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,NEXT_AMOUNT,next_amount,float,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,NEXT_DUE_DATE,next_due_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,PARKING_SLOT,parking_slot,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,PARKING_TYPE_ID,parking_type_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,ISACTIVE,isactive,bool,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,STATUS_CHANGE,status_change,datetime,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,COMMENTS,comments,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,CANCELLATION_REASON,cancellation_reason,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,CANCELLATION_DATE,cancellation_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,CANCELLATION_TYPE,cancellation_type,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,CANCELLATION_CATEGORY_ID,cancellation_category_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,CANCELLATION_SUBCATEGORY_ID,cancellation_subcategory_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,FLOOR_NUMBER,floor_number,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,CREATED_BY,created_by,float,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Property_Details,unit / booking record,MODIFIED_BY,modified_by,float,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Property_Details,unit / booking record,CREATED_DATE,created_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Property_Details,unit / booking record,MODIFIED_DATE,modified_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Property_Details,unit / booking record,VIRTUAL_ACCOUNT_NUMBER,virtual_account_number,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,TRANSFER_ID,transfer_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,IS_CUSTOM_PAYMENT_SCHEDULED,is_custom_payment_scheduled,bool,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,LANDLORD_ID,landlord_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,SALES_PERSON_ID,sales_person_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,BASE_PRICE,base_price,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,FLOOR_RISE_CHARGES,floor_rise_charges,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,EAST_FACING_CHARGES,east_facing_charges,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,IS_PREFERRED_LOCATION,is_preferred_location,bool,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,PREFERRED_LOCATION_CHARGES,preferred_location_charges,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,CAR_PARKING_CHARGES,car_parking_charges,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,CLUB_HOUSE_CHARGES,club_house_charges,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,INFRASTRUCTURE_CHARGES,infrastructure_charges,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,DISCOUNT_TYPE,discount_type,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,DISCOUNT_AMOUNT,discount_amount,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,IS_UNIT_CANCELLATION_REQUESTED,is_unit_cancellation_requested,bool,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,IS_NAME_REVISION_REQUESTED,is_name_revision_requested,bool,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,IS_UNIT_SHIFTING_REQUESTED,is_unit_shifting_requested,bool,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,IS_UNIT_TRANSFER_REQUESTED,is_unit_transfer_requested,bool,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,BOOKING_TYPE_ID,booking_type_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,REFERRED_BY_ID,referred_by_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,REFERRER_NAME,referrer_name,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,REFERRER_EMAIL,referrer_email,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,REFERRER_PHONE_NUMBER,referrer_phone_number,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,REFFER_DETAILS_ID,reffer_details_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,SHIFTING_CHARGES,shifting_charges,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,CPP_REMARKS,cpp_remarks,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,MARKETING_SCHEME_ID,marketing_scheme_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,PAYMENT_MODE,payment_mode,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,LOAN_BANKER_NAME,loan_banker_name,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,LOAN_BANKER_PHONE_NUMBER,loan_banker_phone_number,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,AGREEMENT_FOR_SALE_DATE,agreement_for_sale_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,AGREEMENT_FOR_SALE_VALUE,agreement_for_sale_value,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,CONSTRUCTION_AGREEMENT_DATE,construction_agreement_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,CONSTRUCTION_AGREEMENT_VALUE,construction_agreement_value,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,SALE_DEED_DATE,sale_deed_date,datetime,access->web,candidate,newest-wins,MODIFIED_DATE,possible Access-origin event - confirm with client (newest-wins)
tbl_Property_Details,unit / booking record,SALE_DEED_VALUE,sale_deed_value,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,TDS_PAYMENT_TYPE,tds_payment_type,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,TDS_STATUS,tds_status,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,FINAL_TDS_DATE,final_tds_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,STAMP_DUTY_STATUS,stamp_duty_status,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,STAMP_DUTY_PAID_BY,stamp_duty_paid_by,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,STAMP_DUTY_DATE,stamp_duty_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,STAMP_DUTY_AMOUNT,stamp_duty_amount,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,REGISTRATION_TYPE,registration_type,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property_Details,unit / booking record,REGISTRATION_DATE,registration_date,datetime,access->web,candidate,newest-wins,MODIFIED_DATE,possible Access-origin event - confirm with client (newest-wins)
